Motor,Carga,Horas Oleo,TBN,OXI,V100,ST,NIT,SUL,CU,FE
TE8037,7,88,9.9,10,13.7,0,6,16,35,7
TE8037,7,159,9.6,10,13.1,0,7,17,39,9
TE8037,7,241,9.2,11,12.5,1,7,20,30,10
TE8037,7,362,8.8,13,12.5,2,8,22,26,11
TE8037,7,445,8.6,14,12.1,7,8,24,28,14
TE8037,7,524,8.3,15,11.8,9,9,25,31,16
TE8038,6,85,10.1,9,13,0,5,19,1,5
TE8038,6,147,9.8,10,13.9,2,6,20,1,6
TE8038,6,226,9.3,11,12.3,4,6,21,2,7
TE8038,6,273,9,12,12.2,5,7,22,2,9
TE8038,6,288,8.8,12,11.8,5,7,22,2,9
TE8038,6,427,8.4,14,11.8,7,8,22,3,12
TE8038,6,514,7.9,16,11.6,9,9,23,3,15
